GroupIdentifier,ParentGroupIdentifier,TopGroup,Sequence,Name,ShortDescription,LongDescription,Thumbnail,FullImage,Field1,Published,Delete
1-0-0,,true,15,"Men","Men",,,,,1,0
1-2-0,1-0-0,false,5,"Mens Apparel","Mens Apparel",,,,,1,0
1-2-3,1-2-0,false,0,"Casual Short Sleeve Shirts","Casual Short Sleeve Shirts",,,,,1,0
1-2-4,1-2-0,false,0,"Pants & Slacks","Pants & Slacks",,,,,1,0
1-2-5,1-2-0,false,0,"Pleated Shorts","Pleated Shorts",,,,,1,0
1-2-6,1-2-0,false,0,"Sweaters & Fleece","Sweaters & Fleece",,,,,1,0
1-2-7,1-2-0,false,0,"Classic Jeans","Classic Jeans",,,,,1,0
1-2-8,1-2-0,false,0,"Jackets","Jackets",,,,,1,0
1-2-9,1-2-0,false,0,"Sportcoats","Mens Sportcoats",,,,,1,0
1-2-303,1-2-0,false,0,"Mens Basic Tees","Mens Basic Tees",,,,,1,0
1-2-321,1-2-0,false,0,"Dress Shirts","Mens Dress Shirts",,,,,1,0
1-12-0,1-0-0,false,15,"Young Mens Apparel","Young Mens Apparel",,,,,1,0
1-12-304,1-12-0,false,0,"Music Tees","Music Tees",,,,,1,0
1-31-0,1-0-0,false,25,"Accessories","Mens Accessories",,,,,1,0
1-31-33,1-31-0,false,0,"Ties","Mens Ties",,,,,1,0
1-31-34,1-31-0,false,0,"Mens Belts","Mens Belts",,,,,1,0
1-31-35,1-31-0,false,0,"Mens Wallets","Mens Wallets",,,,,1,0
1-31-36,1-31-0,false,0,"Hats, Caps & Visors","Mens Hats, Caps & Visors",,,,,1,0
1-31-38,1-31-0,false,0,"Mens Gifts","Mens Gifts",,,,,1,0
1-31-299,1-31-0,false,0,"Mens Sunglasses","Mens Sunglasses",,,,,1,0
52-0-0,,true,5,"Women","Women",,,,,1,0
52-53-0,52-0-0,false,5,"Misses Apparel","Misses Apparel",,,,,1,0
52-53-54,52-53-0,false,60,"Scrub Tops","Scrub Tops",,,,,1,0
52-53-56,52-53-0,false,20,"All Misses T-Shirts","T-Shirts",,,,,1,0
52-53-58,52-53-0,false,130,"Pants & Slacks","Pants & Slacks",,,,,1,0
52-53-59,52-53-0,false,40,"Jeans","Jeans",,,,,1,0
52-53-60,52-53-0,false,50,"Short Sleeve Tops","Short Sleeve Tops",,,,,1,0
52-53-61,52-53-0,false,180,"Activewear","Activewear",,,,,1,0
52-53-63,52-53-0,false,80,"Shrugs & Cardigans","Shrugs & Cardigans",,,,,1,0
52-53-64,52-53-0,false,10,"Shorts","Shorts",,,,,1,0
52-53-65,52-53-0,false,70,"Skirts","Skirts",,,,,1,0
52-53-66,52-53-0,false,100,"Skorts","Skorts",,,,,1,0
52-53-70,52-53-0,false,0,"Jackets & Coats","Jackets & Coats",,,,,1,0
52-71-0,52-0-0,false,10,"Petite Apparel","Petite Apparel",,,,,1,0
52-71-74,52-71-0,false,130,"Petite Sleeveless Tops","Petite Sleeveless Tops",,,,,1,0
52-71-76,52-71-0,false,230,"Petite Pants & Slacks","Petite Pants & Slacks",,,,,1,0
52-71-77,52-71-0,false,220,"Petite Jeans","Petite Jeans",,,,,1,0
52-71-78,52-71-0,false,120,"Petite 3/4 Sleeve Tops","Petite 3/4 Sleeve Tops",,,,,1,0
52-71-81,52-71-0,false,150,"Petite Sweaters & Cardigans","Petite Sweaters & Cardigans",,,,,1,0
52-71-82,52-71-0,false,240,"Petite Shorts","Petite Shorts",,,,,1,0
52-71-83,52-71-0,false,250,"Petite Skirts","Petite Skirts",,,,,1,0
52-71-84,52-71-0,false,260,"Petite Skorts","Petite Skorts",,,,,1,0
52-71-88,52-71-0,false,0,"Petite Jackets & Coats","Petite Jackets & Coats",,,,,1,0
52-89-0,52-0-0,false,15,"Plus Size Apparel","Plus Size Apparel",,,,,1,0
52-89-92,52-89-0,false,0,"Plus Size Sleeveless Tops","Plus Size Sleeveless Tops",,,,,1,0
52-89-94,52-89-0,false,0,"Plus Size Pants & Slacks","Plus Size Pants & Slacks",,,,,1,0
52-89-95,52-89-0,false,0,"Plus Size Jeans","Plus Size Jeans",,,,,1,0
52-89-97,52-89-0,false,0,"Plus Size Sweaters & Cardigans","Plus Size Sweaters & Cardigans",,,,,1,0
52-89-98,52-89-0,false,0,"Plus Size Shorts","Plus Size Shorts",,,,,1,0
52-89-99,52-89-0,false,0,"Plus Size Skirts","Plus Size Skirts",,,,,1,0
52-89-100,52-89-0,false,0,"Plus Size Skorts","Plus Size Skorts",,,,,1,0
52-89-104,52-89-0,false,0,"Plus Size Jackets & Coats","Plus Size Jackets & Coats",,,,,1,0
52-89-269,52-89-0,false,0,"Plus Size Short Sleeve Tops","Plus Size Short Sleeve Tops",,,,,1,0
