skuId,markup,listPrice,basePrice,costPrice
105,,44.99,44.99,44.99
198,,27.6,27.6,27.6
2,,36.75,36.75,36.75
55,,36.75,36.75,36.75
167,,36.75,36.75,36.75
550,,24.99,24.99,24.99
278,,21.6,21.6,21.6
278,,14.99,14.99,14.99
432,,21.99,21.99,21.99
145,,21.99,21.99,21.99
648,,21.99,21.99,21.99
532,,21.99,21.99,21.99
217,,21.99,21.99,21.99
73,,21.99,21.99,21.99
637,,25.2,25.2,25.2
652,,25.2,25.2,25.2
588,,25.2,25.2,25.2
185,,6.99,6.99,6.99
952,,26.99,26.99,26.99
312,,26.99,26.99,26.99
37,,26.99,26.99,26.99
677,,26.99,26.99,26.99
578,,26.99,26.99,26.99
150,,25.2,25.2,25.2
192,,25.2,25.2,25.2
636,,26.99,26.99,26.99
832,,26.99,26.99,26.99
398,,26.99,26.99,26.99
760,,26.99,26.99,26.99
235,,16.99,16.99,16.99
205,,16.99,16.99,16.99
629,,16.99,16.99,16.99
743,,26.99,26.99,26.99
248,,26.99,26.99,26.99
701,,26.99,26.99,26.99
911,,26.99,26.99,26.99
429,,26.99,26.99,26.99
708,,17.99,17.99,17.99
326,,17.99,17.99,17.99
698,,17.99,17.99,17.99
489,,17.99,17.99,17.99
626,,17.99,17.99,17.99
425,,17.99,17.99,17.99
327,,17.99,17.99,17.99
994,,17.99,17.99,17.99
407,,17.99,17.99,17.99
295,,26.99,26.99,26.99
25,,26.99,26.99,26.99
240,,26.99,26.99,26.99
380,,26.99,26.99,26.99
638,,26.99,26.99,26.99
1059,,26.99,26.99,26.99
361,,26.99,26.99,26.99
377,,26.99,26.99,26.99
441,,26.99,26.99,26.99
694,,26.99,26.99,26.99
614,,26.99,26.99,26.99
215,,26.99,26.99,26.99
1101,,26.99,26.99,26.99
613,,26.99,26.99,26.99
997,,26.99,26.99,26.99
39,,26.99,26.99,26.99
1136,,26.99,26.99,26.99
276,,26.5,26.5,26.5
1055,,26.5,26.5,26.5
1241,,24.99,24.99,24.99
695,,24.99,24.99,24.99
353,,24.99,24.99,24.99
372,,26.99,26.99,26.99
467,,26.99,26.99,26.99
1033,,26.99,26.99,26.99
116,,34.8,34.8,34.8
146,,34.8,34.8,34.8
349,,34.8,34.8,34.8
1226,,34.8,34.8,34.8
1128,,34.8,34.8,34.8
619,,22.8,22.8,22.8
231,,22.8,22.8,22.8
36,,26.99,26.99,26.99
1480,,10.0,10.0,10.0
733,,16.99,16.99,16.99
991,,16.99,16.99,16.99
1214,,16.99,16.99,16.99
867,,26.4,26.4,26.4
764,,26.4,26.4,26.4
689,,26.4,26.4,26.4
1568,,28.0,28.0,28.0
193,,28.0,28.0,28.0
258,,28.0,28.0,28.0
1281,,28.0,28.0,28.0
916,,28.0,28.0,28.0
46,,28.0,28.0,28.0
1028,,28.0,28.0,28.0
282,,28.0,28.0,28.0
230,,28.0,28.0,28.0
1517,,28.0,28.0,28.0
790,,28.0,28.0,28.0
122,,28.0,28.0,28.0
186,,31.5,31.5,31.5
1418,,21.99,21.99,21.99
204,,21.99,21.99,21.99
1686,,21.99,21.99,21.99
341,,21.99,21.99,21.99
1057,,21.99,21.99,21.99
180,,21.99,21.99,21.99
1079,,21.99,21.99,21.99
44,,21.99,21.99,21.99
506,,21.99,21.99,21.99
829,,21.99,21.99,21.99
634,,21.99,21.99,21.99
1044,,30.8,30.8,30.8
504,,30.8,30.8,30.8
14,,30.8,30.8,30.8
1406,,30.8,30.8,30.8
77,,29.4,29.4,29.4
468,,29.4,29.4,29.4
1148,,29.4,29.4,29.4
216,,29.4,29.4,29.4
477,,24.99,24.99,24.99
502,,24.99,24.99,24.99
924,,24.99,24.99,24.99
1124,,24.99,24.99,24.99
1068,,24.99,24.99,24.99
1431,,24.99,24.99,24.99
303,,24.99,24.99,24.99
72,,24.99,24.99,24.99
713,,24.99,24.99,24.99
1201,,24.99,24.99,24.99
124,,24.99,24.99,24.99
1110,,24.99,24.99,24.99
151,,30.8,30.8,30.8
416,,30.8,30.8,30.8
838,,30.8,30.8,30.8
1681,,28.0,28.0,28.0
1793,,28.0,28.0,28.0
818,,29.4,29.4,29.4
531,,29.4,29.4,29.4
1872,,29.4,29.4,29.4
910,,29.4,29.4,29.4
759,,21.6,21.6,21.6
759,,14.99,14.99,14.99
226,,21.6,21.6,21.6
226,,14.99,14.99,14.99
364,,21.6,21.6,21.6
364,,14.99,14.99,14.99
88,,21.6,21.6,21.6
88,,14.99,14.99,14.99
1405,,21.6,21.6,21.6
1405,,14.99,14.99,14.99
878,,21.6,21.6,21.6
878,,14.99,14.99,14.99
152,,21.6,21.6,21.6
152,,14.99,14.99,14.99
485,,21.6,21.6,21.6
485,,14.99,14.99,14.99
605,,21.6,21.6,21.6
605,,14.99,14.99,14.99
811,,37.8,37.8,37.8
311,,37.8,37.8,37.8
474,,37.8,37.8,37.8
756,,37.8,37.8,37.8
243,,37.8,37.8,37.8
393,,37.8,37.8,37.8
669,,37.8,37.8,37.8
796,,37.8,37.8,37.8
1503,,37.8,37.8,37.8
1441,,37.8,37.8,37.8
466,,37.8,37.8,37.8
1211,,24.0,24.0,24.0
1263,,24.0,24.0,24.0
565,,24.0,24.0,24.0
714,,24.0,24.0,24.0
438,,24.0,24.0,24.0
1169,,24.0,24.0,24.0
1672,,24.0,24.0,24.0
930,,24.0,24.0,24.0
1769,,24.0,24.0,24.0
1188,,24.0,24.0,24.0
462,,24.0,24.0,24.0
56,,24.0,24.0,24.0
680,,24.0,24.0,24.0
816,,24.0,24.0,24.0
1095,,24.0,24.0,24.0
453,,24.0,24.0,24.0
173,,24.0,24.0,24.0
1461,,21.99,21.99,21.99
943,,21.99,21.99,21.99
992,,21.99,21.99,21.99
1279,,29.75,29.75,29.75
110,,29.75,29.75,29.75
1615,,29.75,29.75,29.75
1389,,29.75,29.75,29.75
860,,21.6,21.6,21.6
860,,14.99,14.99,14.99
954,,21.6,21.6,21.6
954,,14.99,14.99,14.99
738,,21.6,21.6,21.6
738,,14.99,14.99,14.99
1964,,21.6,21.6,21.6
1964,,14.99,14.99,14.99
89,,21.6,21.6,21.6
89,,14.99,14.99,14.99
1047,,21.6,21.6,21.6
1047,,14.99,14.99,14.99
18,,21.6,21.6,21.6
18,,14.99,14.99,14.99
371,,26.4,26.4,26.4
1119,,26.4,26.4,26.4
2037,,26.4,26.4,26.4
1016,,26.4,26.4,26.4
1017,,26.4,26.4,26.4
1105,,26.4,26.4,26.4
70,,26.4,26.4,26.4
166,,26.4,26.4,26.4
544,,26.4,26.4,26.4
42,,26.4,26.4,26.4
1220,,26.4,26.4,26.4
1786,,26.4,26.4,26.4
90,,26.4,26.4,26.4
1893,,26.4,26.4,26.4
1313,,26.4,26.4,26.4
534,,22.8,22.8,22.8
120,,22.8,22.8,22.8
1024,,22.8,22.8,22.8
895,,22.8,22.8,22.8
807,,22.8,22.8,22.8
786,,22.8,22.8,22.8
1850,,22.8,22.8,22.8
2224,,22.8,22.8,22.8
803,,22.8,22.8,22.8
876,,22.8,22.8,22.8
735,,22.8,22.8,22.8
1291,,22.8,22.8,22.8
1759,,22.8,22.8,22.8
446,,22.8,22.8,22.8
2036,,30.8,30.8,30.8
774,,30.8,30.8,30.8
288,,30.8,30.8,30.8
1368,,30.8,30.8,30.8
1371,,21.99,21.99,21.99
2223,,21.99,21.99,21.99
989,,21.99,21.99,21.99
247,,21.99,21.99,21.99
273,,21.99,21.99,21.99
239,,21.99,21.99,21.99
561,,21.99,21.99,21.99
773,,21.99,21.99,21.99
1741,,21.99,21.99,21.99
1200,,21.99,21.99,21.99
1325,,21.99,21.99,21.99
537,,21.99,21.99,21.99
158,,21.99,21.99,21.99
196,,21.99,21.99,21.99
594,,21.99,21.99,21.99
1603,,44.99,44.99,44.99
2231,,44.99,44.99,44.99
1416,,44.99,44.99,44.99
1906,,44.99,44.99,44.99
473,,44.99,44.99,44.99
1145,,44.99,44.99,44.99
1474,,44.99,44.99,44.99
746,,44.99,44.99,44.99
1687,,44.99,44.99,44.99
571,,44.99,44.99,44.99
1958,,44.99,44.99,44.99
2168,,44.99,44.99,44.99
2165,,44.99,44.99,44.99
1160,,16.99,16.99,16.99
