ProductRefId,Name,Description,Value,Position,IsFilter,IsRequired,IsOnProductDetails,IsStockKeepingUnit,IsWizard,IsActive,IsTopMenuLinkActive,DefaultValue
P000007188,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000017046,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,false,false,false,false,false,true,false,
P000039567,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000043358,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,false,false,false,false,false,true,false,
P000121246,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000144685,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,false,false,false,false,false,true,false,
P000145549,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,false,false,false,false,false,true,false,
P000149356,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000150704,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000154461,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000160927,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000164919,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,false,false,false,false,false,true,false,
P000164920,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,false,false,false,false,false,true,false,
P000170879,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000183349,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000184683,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000185129,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000188074,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,false,false,false,false,false,true,false,
P000191164,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,false,false,false,false,false,true,false,
P000192847,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,false,false,false,false,false,true,false,
P000193522,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000200510,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000200938,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000201083,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000201191,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000201193,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000201486,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000201507,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000202599,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000202909,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000202937,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,false,false,false,false,false,true,false,
P000202938,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,false,false,false,false,false,true,false,
P000203161,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000203174,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000203230,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,false,false,false,false,false,true,false,
P000203313,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000203592,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000203638,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
P000203641,SizeChart,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,false,false,false,false,false,true,false,
