Id,Name,DepartmentId,CategoryId,CategoryUniqueIdentifier,BrandId,BrandName,LinkId,RefId,IsVisible,Description,DescriptionShort,ReleaseDate,KeyWords,Title,IsActive,TaxCode,MetaTagDescription,SupplierId,ShowWithoutStock,AdWordsRemarketingCode,LomadeeCampaignCode,Score
,Columbia Mens Short Sleeve Bonehead Shirt,,3,1-2-3,1,Columbia Sportswear,Columbia-Mens-Short-Sleeve-Bonehead-Shirt-P000007188,P000007188,true,"The Bonehead Shirt is designed for anglers & features a cotton Ultra-lite poplin fabric for a lived-in comfort, hook & loop-closed fly boxed pockets, rod holder, utility loop, tool holder & is fully vented.  International Shipping Prohibited.",,2021-10-01T00:00:00,"Columbia, Mens, Short, Sleeve, Bonehead, Shirt",Columbia Mens Short Sleeve Bonehead Shirt,true,,Columbia Mens Short Sleeve Bonehead Shirt,,true,,,
,Columbia Sportswear Mens Bahama II Shirt,,3,1-2-3,1,Columbia Sportswear,Columbia-Sportswear-Mens-Bahama-II-Shirt-P000039567,P000039567,true,A lightweight shirt that dries fast & has mesh-lined vents at the back enhance airflow to keep you cool & features built-in UV protection . This Bahama II shirt offers two chest pockets offering plenty of room for small gear. International Shipping Prohibited.,,2021-10-01T00:00:00,"Columbia, Sportswear, Mens, Bahama, II, Shirt",Columbia Sportswear Mens Bahama II Shirt,true,,Columbia Sportswear Mens Bahama II Shirt,,true,,,
,Columbia Sportswear Mens Tamiami II Shirt,,3,1-2-3,1,Columbia Sportswear,Columbia-Sportswear-Mens-Tamiami-II-Shirt-P000150704,P000150704,true,Tamiami II lightweight shirt features anti-microbial properties to keep odor-free. Moisture wicking fabric offers sun protection & mesh-lined vents for airflow for breathable comfort. Deep pockets & a rod holder for hands free convenience. International Shipping Prohibited.,,2021-10-01T00:00:00,"Columbia, Sportswear, Mens, Tamiami, II, Shirt",Columbia Sportswear Mens Tamiami II Shirt,true,,Columbia Sportswear Mens Tamiami II Shirt,,true,,,
,Reel Legends Tidewater Vented Fishing Shirt,,3,1-2-3,6,Reel Legends,Reel-Legends-Tidewater-Vented-Fishing-Shirt-P000154461,P000154461,true,"Reel Legends Tidewater fishing shirt offers a design sure to capture the attention of any fishing enthusiast! A casual style that features a button front, point collar, short sleeves, waterproof pouch, security pockets & a vented back. 100% cotton with polyester lining.",,2021-10-01T00:00:00,"Reel, Legends, Tidewater, Vented, Fishing, Shirt",Reel Legends Tidewater Vented Fishing Shirt,true,,Reel Legends Tidewater Vented Fishing Shirt,,true,,,
,Columbia Sportswear Mens Blood & Guts Shirt,,3,1-2-3,1,Columbia Sportswear,Columbia-Sportswear-Mens-Blood-&-Guts-Shirt-P000160927,P000160927,true,"Stain-resistant repellent shirt allows you to clean your catch and stay clean. It's designed with UV-protection, short sleeves, flip-up collar to keep the sun off your neck, vented back, rod holder, and 2 hook & loop closed pockets. International Shipping Prohibited.",,2021-10-01T00:00:00,"Columbia, Sportswear, Mens, Blood, &, Guts, Shirt",Columbia Sportswear Mens Blood & Guts Shirt,true,,Columbia Sportswear Mens Blood & Guts Shirt,,true,,,
,Reel Legends Short Sleeve Castaway Shirt,,3,1-2-3,6,Reel Legends,Reel-Legends-Short-Sleeve-Castaway-Shirt-P000170879,P000170879,true,"Fishing is easier with a shirt by Reel Legends that features a rod holder, sunglass loop, fully vented back, self-adhesive pockets and UPF35 sun protection.",,2021-10-01T00:00:00,"Reel, Legends, Short, Sleeve, Castaway, Shirt",Reel Legends Short Sleeve Castaway Shirt,true,,Reel Legends Short Sleeve Castaway Shirt,,true,,,
,Reel Legends Short Sleeve Castaway Shirt,,3,1-2-3,6,Reel Legends,Reel-Legends-Short-Sleeve-Castaway-Shirt-P000193522,P000193522,true,"Reel Legends short sleeve Castaway shirt is made for the true fisherman with a fishing rod holder, sunglass loop & has a fully vented back.  Expandable front pockets on this shirt securely hold your belongings.  UPF35 sun protection.  100% Nylon.",,2021-10-01T00:00:00,"Reel, Legends, Short, Sleeve, Castaway, Shirt",Reel Legends Short Sleeve Castaway Shirt,true,,Reel Legends Short Sleeve Castaway Shirt,,true,,,
,Van Heusen Textured Vertical Stripe Sport Shirt,,3,1-2-3,11,Van Heusen,Van-Heusen-Textured-Vertical-Stripe-Sport-Shirt-P000201191,P000201191,true,"Just right for business or casual wear, this button front sport shirt features a textured vertical stripe design, short sleeves, point collar, chest pocket, and straight split hemline. Easy wear and care!",,2021-10-01T00:00:00,"Van, Heusen, Textured, Vertical, Stripe, Sport, Shirt",Van Heusen Textured Vertical Stripe Sport Shirt,true,,Van Heusen Textured Vertical Stripe Sport Shirt,,true,,,
,Van Heusen Textured Grid Sport Shirt,,3,1-2-3,11,Van Heusen,Van-Heusen-Textured-Grid-Sport-Shirt-P000201193,P000201193,true,"Just right for business or casual wear, this button front sport shirt features a textured grid design, short sleeves, point collar, and straight split hemline.",,2021-10-01T00:00:00,"Van, Heusen, Textured, Grid, Sport, Shirt",Van Heusen Textured Grid Sport Shirt,true,,Van Heusen Textured Grid Sport Shirt,,true,,,
,Van Heusen Vertical Stripes Sport Shirt,,3,1-2-3,11,Van Heusen,Van-Heusen-Vertical-Stripes-Sport-Shirt-P000203161,P000203161,true,"Easy wear and easy care! Van Heusen provides a hassle-free style in this short sleeve shirt that features vertical stripes, left chest pocket & a straight hem with side splits.",,2021-10-01T00:00:00,"Van, Heusen, Vertical, Stripes, Sport, Shirt",Van Heusen Vertical Stripes Sport Shirt,true,,Van Heusen Vertical Stripes Sport Shirt,,true,,,
