Id,SkuId,ArchiveId,Name,IsMain,Label,Url
,1,,Color-GREEN-TEA-Size-Lg_1,true,Color-GREEN-TEA-Size-Lg_1,https://images.beallsflorida.com/i/beallsflorida/457-1007-3332-31-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,2,,Color-WHITE-Size-X-Lg_1,true,Color-WHITE-Size-X-Lg_1,https://images.beallsflorida.com/i/beallsflorida/457-4896-2034-10-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,3,,Color-AQUA-BLUE-Size-Lg_1,true,Color-AQUA-BLUE-Size-Lg_1,https://images.beallsflorida.com/i/beallsflorida/455-5688-5078-46-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,4,,Color-TAHOE-BLUE-Size-34W-29L_1,true,Color-TAHOE-BLUE-Size-34W-29L_1,https://images.beallsflorida.com/i/beallsflorida/479-2296-1010-98-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,5,,Color-AQUA-PORPOISE-BLUE-Size-Lg_1,true,Color-AQUA-PORPOISE-BLUE-Size-Lg_1,https://images.beallsflorida.com/i/beallsflorida/457-1007-3401-46-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,6,,Color-AQUA-BLUE-Size-XX-Lg_1,false,Color-AQUA-BLUE-Size-XX-Lg_1,https://images.beallsflorida.com/i/beallsflorida/455-5688-5078-46-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,7,,Color-INTENSE-BLUE-Size-38W-32L_1,true,Color-INTENSE-BLUE-Size-38W-32L_1,https://images.beallsflorida.com/i/beallsflorida/467-1461-9167-96-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,8,,Color-BLACK-Size-12_1,true,Color-BLACK-Size-12_1,https://images.beallsflorida.com/i/beallsflorida/136-5114-1219-01-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,9,,Color-NEUTRAL-GRAY-Size-16_1,true,Color-NEUTRAL-GRAY-Size-16_1,https://images.beallsflorida.com/i/beallsflorida/109-9274-5406-04-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
,10,,Color-WHITE-MULTI-Size-Lg_1,true,Color-WHITE-MULTI-Size-Lg_1,https://images.beallsflorida.com/i/beallsflorida/234-4029-7397-19-yyy?w=1000&h=1000&fmt=auto&qlt=default&img404=404&v=1
