Id,Name,Text,Keywords,SiteTitle,Active,MenuHome,AdWordsRemarketingCode,LomadeeCampaignCode,Score
,Vintage Red,Vintage Red,Vintage Red,,true,,,,
,Oleg Cassini,Oleg Cassini,Oleg Cassini,,true,,,,
,Energie,Energie,Energie,,true,,,,
,SunBay,SunBay,SunBay,,true,,,,
,Zoo York,Zoo York,Zoo York,,true,,,,
,Skye's The Limit,Skye's The Limit,Skye's The Limit,,true,,,,
,La Mamba,La Mamba,La Mamba,,true,,,,
,Coral Bay,Coral Bay,Coral Bay,,true,,,,
,O'Neill,O'Neill,O'Neill,,true,,,,
,IZOD,IZOD,IZOD,,true,,,,
,Sag Harbor,Sag Harbor,Sag Harbor,,true,,,,
,Lee,Lee,Lee,,true,,,,
,Fox,Fox,Fox,,true,,,,
,Eyeshadow,Eyeshadow,Eyeshadow,,true,,,,
,La Classe Couture,La Classe Couture,La Classe Couture,,true,,,,
,Deja Bleu,Deja Bleu,Deja Bleu,,true,,,,
,Columbia Sportswear,Columbia Sportswear,Columbia Sportswear,,true,,,,
,Caribbean Joe,Caribbean Joe,Caribbean Joe,,true,,,,
,Gloria Vanderbilt,Gloria Vanderbilt,Gloria Vanderbilt,,true,,,,
,Genuine Wrangler,Genuine Wrangler,Genuine Wrangler,,true,,,,
,A.J. IZOD,A.J. IZOD,A.J. IZOD,,true,,,,
,Alfred Dunner,Alfred Dunner,Alfred Dunner,,true,,,,
,Rafaella,Rafaella,Rafaella,,true,,,,
,Calvin Klein Performance,Calvin Klein Performance,Calvin Klein Performance,,true,,,,
,Vanilla Star,Vanilla Star,Vanilla Star,,true,,,,
,Van Heusen,Van Heusen,Van Heusen,,true,,,,
,Reel Legends,Reel Legends,Reel Legends,,true,,,,
,Liverpool,Liverpool,Liverpool,,true,,,,
,Duke's,Duke's,Duke's,,true,,,,
,Dockers®,Dockers®,Dockers®,,true,,,,
,Wurl,Wurl,Wurl,,true,,,,
,Larry Levine,Larry Levine,Larry Levine,,true,,,,
,Calvin Klein,Calvin Klein,Calvin Klein,,true,,,,
,Bay Studio,Bay Studio,Bay Studio,,true,,,,
,Royalty by YMI,Royalty by YMI,Royalty by YMI,,true,,,,
,Jones New York Sport,Jones New York Sport,Jones New York Sport,,true,,,,
,Windham Pointe,Windham Pointe,Windham Pointe,,true,,,,
,Alia,Alia,Alia,,true,,,,
,NONE,NONE,NONE,,true,,,,
,Coral Bay Golf,Coral Bay Golf,Coral Bay Golf,,true,,,,
,George & Martha,George & Martha,George & Martha,,true,,,,
,Guy Harvey,Guy Harvey,Guy Harvey,,true,,,,
,Derek Heart,Derek Heart,Derek Heart,,true,,,,
,Unionbay,Unionbay,Unionbay,,true,,,,
,XOXO,XOXO,XOXO,,true,,,,
,Paradise Shores,Paradise Shores,Paradise Shores,,true,,,,
,Earl Jean,Earl Jean,Earl Jean,,true,,,,
,Billabong,Billabong,Billabong,,true,,,,
,AXIS,AXIS,AXIS,,true,,,,
,A. Byer,A. Byer,A. Byer,,true,,,,
,Zenana,Zenana,Zenana,,true,,,,
,Moa Moa,Moa Moa,Moa Moa,,true,,,,
,Counterparts,Counterparts,Counterparts,,true,,,,
,Nue Options,Nue Options,Nue Options,,true,,,,
,Vintage America,Vintage America,Vintage America,,true,,,,
,Roxy,Roxy,Roxy,,true,,,,
,Levi's®,Levi's®,Levi's®,,true,,,,
,Bandolino Blu,Bandolino Blu,Bandolino Blu,,true,,,,
,Hurley,Hurley,Hurley,,true,,,,
,Golf America,Golf America,Golf America,,true,,,,
