Id,ProductId,ProductRefId,IsActive,Name,RefId,PackagedHeight,PackagedLength,PackagedWidth,PackagedWeightKg,Height,Length,Width,WeightKg,CubicWeight,IsKit,CreationDate,RewardValue,EstimatedDateArrival,ManufacturerCode,CommercialConditionId,MeasurementUnit,UnitMultiplier,ModalType,KitItensSellApart,ActivateIfPossible
,,P000206871,false,Color GREEN TEA Size Lg,94124836,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000214882,false,Color WHITE Size X-Lg,95397041,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000209035,false,Color AQUA BLUE Size Lg,96213270,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000144685,false,Color TAHOE BLUE Size 34W 29L,81683779,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000206888,false,Color AQUA PORPOISE BLUE Size Lg,94125192,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000209035,false,Color AQUA BLUE Size XX-Lg,96213294,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000215608,false,Color INTENSE BLUE Size 38W 32L,95938467,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000121246,false,Color BLACK Size 12,80579505,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000210800,false,Color NEUTRAL GRAY Size 16,94339934,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000221027,false,Color WHITE MULTI Size Lg,94884155,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000217675,false,Color WHITE Size 12,96172908,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000222473,false,Color MAGENTA Size Lg,96601179,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000039567,false,Color FOSSIL BEIGE Size X-Lg,56361110,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000214496,false,Color MEDIUM WASH Size 12,95936227,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000225037,false,Color CREAM Size X-Sm,95591410,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000215608,false,Color INTENSE BLUE Size 34W 34L,95938416,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000201193,false,Color TAUPE BRINDLE BEIGE Size X-Lg,94114344,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000224585,false,Color BEIGE CAMO Size 16,96049334,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000219713,false,Color RED Size 8,96405104,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000223567,false,Color CREAMSICLE ORANGE Size X Large,95946245,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000213853,false,Color BLUE RADIANCE Size 10,93952419,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000154461,false,Color BUTTERFLY GREEN Size Md,88802189,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000184683,false,Color SUGAR CORAL Size 12,91271077,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000203891,false,Color WHITE Size 8,94426561,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000205265,false,Color WATERMELON PINK Size 12,95754979,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
,,P000215197,false,Color WASHED SKY BLUE Size 32W 30L,95938674,0,0,0,0,0,0,0,0,0,false,2021-10-01T00:00:00,,,,,un,1,,false,true
