Id,Name,Text,Keywords,SiteTitle,Active,MenuHome,AdWordsRemarketingCode,LomadeeCampaignCode,Score
,Columbia Sportswear,Columbia Sportswear,Columbia Sportswear,,true,,,,
,Caribbean Joe,Caribbean Joe,Caribbean Joe,,true,,,,
,Zenana,Zenana,Zenana,,true,,,,
,Van Heusen,Van Heusen,Van Heusen,,true,,,,
,Calvin Klein Performance,Calvin Klein Performance,Calvin Klein Performance,,true,,,,
,Zoo York,Zoo York,Zoo York,,true,,,,
,XOXO,XOXO,XOXO,,true,,,,
,Eyeshadow,Eyeshadow,Eyeshadow,,true,,,,
,George & Martha,George & Martha,George & Martha,,true,,,,
,Royalty by YMI,Royalty by YMI,Royalty by YMI,,true,,,,
,Wurl,Wurl,Wurl,,true,,,,
,Golf America,Golf America,Golf America,,true,,,,
,Coral Bay,Coral Bay,Coral Bay,,true,,,,
,Earl Jean,Earl Jean,Earl Jean,,true,,,,
,Moa Moa,Moa Moa,Moa Moa,,true,,,,
,Coral Bay Golf,Coral Bay Golf,Coral Bay Golf,,true,,,,
,Guy Harvey,Guy Harvey,Guy Harvey,,true,,,,
,Deja Bleu,Deja Bleu,Deja Bleu,,true,,,,
,Duke's,Duke's,Duke's,,true,,,,
,Lee,Lee,Lee,,true,,,,
,Liverpool,Liverpool,Liverpool,,true,,,,
,Billabong,Billabong,Billabong,,true,,,,
,Fox,Fox,Fox,,true,,,,
,Paradise Shores,Paradise Shores,Paradise Shores,,true,,,,
,Energie,Energie,Energie,,true,,,,
,Counterparts,Counterparts,Counterparts,,true,,,,
,A.J. IZOD,A.J. IZOD,A.J. IZOD,,true,,,,
,Calvin Klein,Calvin Klein,Calvin Klein,,true,,,,
,Reel Legends,Reel Legends,Reel Legends,,true,,,,
,La Classe Couture,La Classe Couture,La Classe Couture,,true,,,,
,Vintage Red,Vintage Red,Vintage Red,,true,,,,
,SunBay,SunBay,SunBay,,true,,,,
,Alia,Alia,Alia,,true,,,,
,Sag Harbor,Sag Harbor,Sag Harbor,,true,,,,
,La Mamba,La Mamba,La Mamba,,true,,,,
,IZOD,IZOD,IZOD,,true,,,,
,O'Neill,O'Neill,O'Neill,,true,,,,
,Vanilla Star,Vanilla Star,Vanilla Star,,true,,,,
,A. Byer,A. Byer,A. Byer,,true,,,,
,Hurley,Hurley,Hurley,,true,,,,
,Roxy,Roxy,Roxy,,true,,,,
,Gloria Vanderbilt,Gloria Vanderbilt,Gloria Vanderbilt,,true,,,,
,Bandolino Blu,Bandolino Blu,Bandolino Blu,,true,,,,
,Levi's®,Levi's®,Levi's®,,true,,,,
,Vintage America,Vintage America,Vintage America,,true,,,,
,Larry Levine,Larry Levine,Larry Levine,,true,,,,
,AXIS,AXIS,AXIS,,true,,,,
,Skye's The Limit,Skye's The Limit,Skye's The Limit,,true,,,,
,Windham Pointe,Windham Pointe,Windham Pointe,,true,,,,
,Genuine Wrangler,Genuine Wrangler,Genuine Wrangler,,true,,,,
,Rafaella,Rafaella,Rafaella,,true,,,,
,Unionbay,Unionbay,Unionbay,,true,,,,
,Nue Options,Nue Options,Nue Options,,true,,,,
,Alfred Dunner,Alfred Dunner,Alfred Dunner,,true,,,,
,Oleg Cassini,Oleg Cassini,Oleg Cassini,,true,,,,
,NONE,NONE,NONE,,true,,,,
,Derek Heart,Derek Heart,Derek Heart,,true,,,,
,Bay Studio,Bay Studio,Bay Studio,,true,,,,
,Dockers®,Dockers®,Dockers®,,true,,,,
,Jones New York Sport,Jones New York Sport,Jones New York Sport,,true,,,,
