skuId,refId,markup,listPrice,basePrice,costPrice
,32448426,,34.99,34.99,34.99
,32448453,,34.99,34.99,34.99
,32448478,,34.99,34.99,34.99
,32448480,,40,40,40
,32448508,,34.99,34.99,34.99
,32448511,,40,40,40
,32448535,,34.99,34.99,34.99
,32448548,,34.99,34.99,34.99
,32448550,,34.99,34.99,34.99
,32448562,,40,40,40
,32512844,,34.99,34.99,34.99
,38359425,,34.99,34.99,34.99
,38359437,,34.99,34.99,34.99
,38359440,,34.99,34.99,34.99
,38359452,,34.99,34.99,34.99
,38359507,,34.99,34.99,34.99
,38359510,,34.99,34.99,34.99
,38359522,,34.99,34.99,34.99
,38359534,,34.99,34.99,34.99
,39045016,,34.99,34.99,34.99
,39045028,,34.99,34.99,34.99
,39045030,,34.99,34.99,34.99
,39045043,,34.99,34.99,34.99
,42956139,,34.99,34.99,34.99
,42956179,,34.99,34.99,34.99
,45121428,,34.99,34.99,34.99
,46083110,,34.99,34.99,34.99
,46083122,,34.99,34.99,34.99
,46083134,,34.99,34.99,34.99
,46083147,,34.99,34.99,34.99
,48108532,,34.99,34.99,34.99
,49164988,,34.99,34.99,34.99
,49164990,,34.99,34.99,34.99
,49165007,,34.99,34.99,34.99
,52298611,,34.99,34.99,34.99
,52298623,,34.99,34.99,34.99
,52298635,,34.99,34.99,34.99
,52298648,,34.99,34.99,34.99
,52298650,,34.99,34.99,34.99
,54483799,,34.99,34.99,34.99
,54483805,,34.99,34.99,34.99
,54483818,,34.99,34.99,34.99
,54483832,,34.99,34.99,34.99
,54483845,,34.99,34.99,34.99
,54483857,,40,40,40
,54488907,,34.99,34.99,34.99
,54488910,,34.99,34.99,34.99
,54488947,,40,40,40
,54488959,,34.99,34.99,34.99
,54488974,,34.99,34.99,34.99
,54488986,,40,40,40
,54488998,,34.99,34.99,34.99
,54489018,,34.99,34.99,34.99
,54489020,,34.99,34.99,34.99
,54489045,,34.99,34.99,34.99
,54489057,,34.99,34.99,34.99
,54489096,,40,40,40
,54489127,,40,40,40
,54489154,,40,40,40
,56361089,,39.99,39.99,39.99
,56361091,,39.99,39.99,39.99
,56361107,,39.99,39.99,39.99
,56361110,,39.99,39.99,39.99
,56361122,,39.99,39.99,39.99
,56361134,,39.99,39.99,39.99
,56361147,,39.99,39.99,39.99
,56361159,,39.99,39.99,39.99
,56361161,,39.99,39.99,39.99
,56361174,,39.99,39.99,39.99
,56361231,,39.99,39.99,39.99
,56361244,,39.99,39.99,39.99
