SkuRefId,Name,Value
0097186969,Color,801 BR PCH
0097186972,Color,801 BR PCH
0097186984,Color,801 BR PCH
0097186996,Color,801 BR PCH
0097187003,Color,801 BR PCH
0090050413,Color,LEMON YELLOW
0090050425,Color,LEMON YELLOW
0090050437,Color,LEMON YELLOW
0090050440,Color,LEMON YELLOW
0090050452,Color,LEMON YELLOW
0092383194,Color,GYPSY RED
0092383200,Color,GYPSY RED
0092383213,Color,GYPSY RED
0092383225,Color,GYPSY RED
0092383237,Color,GYPSY RED
0080331907,Color,SAIL RED
0080331910,Color,SAIL RED
0080331922,Color,SAIL RED
0080331934,Color,SAIL RED
0097186778,Color,454 NT TID
0097186780,Color,454 NT TID
0097186792,Color,454 NT TID
0097186808,Color,454 NT TID
0097186811,Color,454 NT TID
0097186850,Color,455 OCEAN
0097186862,Color,455 OCEAN
0097186875,Color,455 OCEAN
0097186887,Color,455 OCEAN
0097186899,Color,455 OCEAN
0094911025,Color,MIRAGE BLUE
0094911037,Color,MIRAGE BLUE
0094911040,Color,MIRAGE BLUE
0094911052,Color,MIRAGE BLUE
0094911064,Color,MIRAGE BLUE
0046083110,Color,WHITECAP BLUE
0046083122,Color,WHITECAP BLUE
0046083134,Color,WHITECAP BLUE
0046083147,Color,WHITECAP BLUE
0048108532,Color,WHITECAP BLUE
0052298611,Color,GULFSTREAM BLUE
0052298623,Color,GULFSTREAM BLUE
0052298635,Color,GULFSTREAM BLUE
0052298648,Color,GULFSTREAM BLUE
0052298650,Color,GULFSTREAM BLUE
0096409737,Color,398-FELDSP
0096409740,Color,398-FELDSP
0096409752,Color,398-FELDSP
0096409764,Color,398-FELDSP
0096409777,Color,398-FELDSP
0039045016,Color,SAGE GREEN
0039045028,Color,SAGE GREEN
0039045030,Color,SAGE GREEN
0039045043,Color,SAGE GREEN
0042956179,Color,SAGE GREEN
0038359507,Color,FOSSIL BEIGE
0038359510,Color,FOSSIL BEIGE
0038359522,Color,FOSSIL BEIGE
0038359534,Color,FOSSIL BEIGE
0042956139,Color,FOSSIL BEIGE
0038359425,Color,WHITE
0038359437,Color,WHITE
0038359440,Color,WHITE
0038359452,Color,WHITE
0045121428,Color,WHITE
0080331755,Color,BLACK
0080331767,Color,BLACK
0080331770,Color,BLACK
0080331782,Color,BLACK
0080331794,Color,BLACK
0032448426,Color,PEPPERSTONE
0032448453,Color,PEPPERSTONE
0032448478,Color,PEPPERSTONE
0032448480,Color,PEPPERSTONE
0032448508,Color,PEPPERSTONE
0032448511,Color,PEPPERSTONE
0032448535,Color,PEPPERSTONE
0032448548,Color,PEPPERSTONE
0032448550,Color,PEPPERSTONE
0032448562,Color,PEPPERSTONE
0032512844,Color,PEPPERSTONE
0049164988,Color,PEPPERSTONE
0049164990,Color,PEPPERSTONE
0049165007,Color,PEPPERSTONE
0054483799,Color,PEPPERSTONE
0054483805,Color,PEPPERSTONE
0054483818,Color,PEPPERSTONE
0054483832,Color,PEPPERSTONE
0054483845,Color,PEPPERSTONE
0054483857,Color,PEPPERSTONE
0054488907,Color,PEPPERSTONE
0054488910,Color,PEPPERSTONE
0054488947,Color,PEPPERSTONE
0054488959,Color,PEPPERSTONE
0054488974,Color,PEPPERSTONE
0054488986,Color,PEPPERSTONE
0054488998,Color,PEPPERSTONE
0054489018,Color,PEPPERSTONE
0054489020,Color,PEPPERSTONE
0054489045,Color,PEPPERSTONE
0054489057,Color,PEPPERSTONE
0054489096,Color,PEPPERSTONE
0054489127,Color,PEPPERSTONE
0054489154,Color,PEPPERSTONE
0063146943,Color,PEPPERSTONE
0063146970,Color,PEPPERSTONE
0089833496,Color,PEPPERSTONE
0069851474,Color,PEPPER PRE-WASH
0069851486,Color,PEPPER PRE-WASH
0069851498,Color,PEPPER PRE-WASH
0069851504,Color,PEPPER PRE-WASH
0069851517,Color,PEPPER PRE-WASH
0069851531,Color,PEPPER PRE-WASH
0069851544,Color,PEPPER PRE-WASH
0069851556,Color,PEPPER PRE-WASH
0069851583,Color,PEPPER PRE-WASH
0069851595,Color,PEPPER PRE-WASH
0069851626,Color,PEPPER PRE-WASH
0069851638,Color,PEPPER PRE-WASH
