FieldValueId,FieldId,Name,Text,IsActive,Position
,2147,801 BR PCH,,true,
,2147,LEMON YELLOW,,true,
,2147,GYPSY RED,,true,
,2147,SAIL RED,,true,
,2147,454 NT TID,,true,
,2147,455 OCEAN,,true,
,2147,MIRAGE BLUE,,true,
,2147,WHITECAP BLUE,,true,
,2147,GULFSTREAM BLUE,,true,
,2147,398-FELDSP,,true,
,2147,SAGE GREEN,,true,
,2147,FOSSIL BEIGE,,true,
,2147,WHITE,,true,
,2147,BLACK,,true,
,2148,PEPPERSTONE,,true,
,2148,PEPPER PRE-WASH,,true,
,2148,TARMAC BROWN,,true,
,2148,DOUBLE BLACK,,true,
,2147,SAIL BLUE,,true,
,2147,797 NEON L,,true,
,2147,KING CRAB PINK,,true,
,2147,452 NT TID,,true,
,2147,453 OCEAN,,true,
,2147,436 BEACON,,true,
,2147,904 MARINR,,true,
,2147,GULFSTREAM GREEN,,true,
,2147,398 FELDSP,,true,
,2147,SAGE,,true,
,2147,026-LT MTL,,true,
,2148,DARK WASH,,true,
,2148,MEDITERRANEAN BLUE,,true,
,2148,MID DENIM,,true,
,2148,KHAKI,,true,
,2148,BROWN,,true,
,2149,MALLARD BLUE,,true,
,2149,RED,,true,
,2149,COBALT BLUE,,true,
,2149,NAVY BLUE,,true,
,2149,DARK BROWN,,true,
,2149,STONE BEIGE,,true,
,2149,WHITE,,true,
,2149,BLACK,,true,
,2148,TAHOE BLUE,,true,
,2148,NIAGRA FALLS BLUE,,true,
,2148,STONE BLEACH BLUE,,true,
,2148,AIRLINE BLUE,,true,
,2148,WEATHERED STEEL BLUE,,true,
,2148,GREYED INDIGO,,true,
,2148,SEA PORT BLUE,,true,
,2149,MEDIUM CHAMBRAY DENIM,,true,
,2149,LIGHT CHAMBRAY DENIM,,true,
,2149,SUGAR CORAL,,true,
,2149,KHAKI,,true,
,2149,AZALEA PINK,,true,
,2149,FUCHSIA,,true,
,2149,POPPY RED,,true,
,2149,BLUE RADIANCE,,true,
,2149,PEACOAT BLUE,,true,
,2149,METHYL BLUE,,true,
,2149,BRIGHT LIME GREEN,,true,
,2149,OATMEAL,,true,
,2147,360 FIREFL,,true,
,2150,GUNMETAL GREY,,true,
,2147,SUNSET ORANGE,,true,
,2147,RED,,true,
,2147,LIGHT BLUE,,true,
,2147,DRESDEN BLUE,,true,
,2147,NAVY,,true,
,2147,BLUE,,true,
,2147,FEDERAL BLUE,,true,
,2147,CAPRI BLUE,,true,
,2147,BUTTERFLY GREEN,,true,
,2147,CREAM,,true,
,2147,CHARCOAL GREY,,true,
,2149,COLUMBIA NAVY,,true,
,2149,SAGE,,true,
,2149,STONE,,true,
,2150,BLACK/BROWN,,true,
,2150,BLACK/BLUE,,true,
,2147,FIREFLY MULTI,,true,
,2147,450-WHTCAP,,true,
,2147,BEIGE,,true,
,2150,GUNMETAL SILVER,,true,
,2148,LEVEE BLUE,,true,
,2148,NIGHTSHADE BLUE,,true,
,2148,VINT STONE BLUE,,true,
,2148,TRUCKIN BLUE,,true,
,2148,SANDED BRO BLUE,,true,
,2148,FADED LITE BLUE,,true,
,2147,YELLOW,,true,
,2147,PLACID BLUE,,true,
,2150,BLACK,,true,
,2150,BROWN,,true,
,2150,GREY,,true,
,2149,BURNT HENNA,,true,
,2149,GREEN,,true,
,2149,OXIDE BLUE,,true,
,2149,AEGEAN BLUE,,true,
,2149,BLUE,,true,
,2149,BEIGE,,true,
,2149,ROSE SHADOW PINK,,true,
,2149,CREAM KHAKI,,true,
,2149,LIPSTICK RED,,true,
,2149,ARUBA BLUE,,true,
,2149,MEDIEVAL BLUE,,true,
,2149,DRESDEN BLUE,,true,
,2149,NEWSBOY SAGE GREEN,,true,
,2149,SHADOW LIME GREEN,,true,
,2149,CERAMIC GREEN,,true,
,2149,SEAL BROWN,,true,
,2148,BRAZIL BLUE,,true,
,2148,NILE BLUE,,true,
,2148,DEEP BLUE,,true,
,2148,LIGHT BLUE,,true,
,2148,LIGHT STONE BLUE,,true,
,2147,GOLDEN HAZE YELLOW,,true,
,2147,FEATHER BEIGE,,true,
,2147,DRESSY WHITE,,true,
,2149,SMOKED GRAY,,true,
,2149,TURTLE BAY LIGHT DENIM,,true,
,2149,WHIPPED CREAM WHITE,,true,
,2149,CADET BLUE,,true,
,2149,CLOVER GREEN,,true,
,2149,CARAMEL BEIGE,,true,
,2147,BLUE LAKE,,true,
,2147,GREY BLUE,,true,
,2147,AQUA PORPOISE,,true,
,2147,OLIVE LIMON GREEN,,true,
,2147,TAUPE BRINDLE BEIGE,,true,
,2147,KHAKI SILVER BEIGE,,true,
,2149,RUBY RED,,true,
,2149,SAND BEIGE,,true,
,2149,FOG GRAY,,true,
,2150,BLACK/ORANGE/YELLOW,,true,
,2150,BLACK/NAVY,,true,
,2150,WHITE,,true,
,2150,MULTI,,true,
,2150,SMOKE GREY,,true,
,2150,BLUE,,true,
,2150,RED,,true,
,2150,ORANGE,,true,
,2150,SMOKE GREY/BLACK,,true,
,2149,SUNNYSIDE YELLOW,,true,
,2149,HEIRLOOM KHAKI,,true,
,2149,WATERMELON PINK,,true,
,2149,CAROUSEL BLUE,,true,
,2150,SILVERTONE/BLUE,,true,
,2150,SILVERTONE,,true,
,2150,NAVY BLUE,,true,
,2150,NAVY,,true,
,2150,GOLDTONE,,true,
,2150,GUNMETAL/GREY,,true,
,2149,DARK DENIM,,true,
,2149,CORN SILK YELLOW,,true,
,2149,GARNET RED,,true,
,2149,SAHARA BEIGE,,true,
,2149,FEATHER BEIGE,,true,
,2149,PAPER WHITE,,true,
,2148,LIGHT FADE BLUE,,true,
,2148,RUTHLESS BLUE,,true,
,2148,LIGHTVIBE BLUE,,true,
,2149,SOUTH PACIFIC,,true,
,2149,HEIRLOOM DENIM,,true,
,2147,KHAKI ALUMINUM,,true,
,2147,BLUE FIJI,,true,
,2149,SAND,,true,
,2149,NORTHERN LIGHTS,,true,
,2149,HAMPTON DENIM,,true,
,2149,HEIRLOOM BEIGE,,true,
,2149,FRESH BASIL GREEN,,true,
,2149,WOODSTOCK MEDIUM DENIM,,true,
,2149,ACAPULCO DENIM,,true,
,2149,SWEET LAVENDER,,true,
,2149,PINKBERRY,,true,
,2149,GRAHM CRACKER,,true,
,2149,MALTA BLUE WASH,,true,
,2149,WHITE WASH,,true,
,2149,CANTELOPE ORANGE,,true,
,2149,BLUE BELL,,true,
,2149,DEEP MARINE BLUE,,true,
,2149,CORK BEIGE,,true,
,2149,STAR WHITE,,true,
,2149,WILD ROSE PINK,,true,
,2149,ORCHID PURPLE,,true,
,2149,CHIVE GREEN,,true,
,2149,ACORN BROWN,,true,
,2149,DENIM RINSE,,true,
,2149,DAFFODIL YELLOW,,true,
,2149,WHITE/BLUE,,true,
,2149,HONEY ALMOND BEIGE,,true,
,2149,SMOKED PEARL,,true,
,2149,SHARK GRAY,,true,
,2149,DOVE WING GRAY,,true,
,2147,NAVY BLUE,,true,
,2147,MARINE BLUE,,true,
,2147,BLACK MULTI,,true,
,2147,OLIVE GREEN,,true,
,2147,TAUPE MULTI,,true,
,2147,WHISPER BLUE,,true,
,2147,APRICOT ORANGE,,true,
,2147,PRUSSIAN BLUE,,true,
,2147,MOON BEIGE,,true,
,2147,WHISPER GREEN,,true,
,2147,COCONUT BEIGE,,true,
,2151,BORD CORL,,true,
,2151,DYNO PINK,,true,
,2151,FESTIVE TEAL,,true,
,2151,BLACK,,true,
,2151,YELLOW,,true,
,2151,BRIGHT BLUE,,true,
,2151,WHITE,,true,
,2151,PINK BOOM,,true,
,2151,GREEN,,true,
,2151,ORANGE,,true,
,2151,BLUE RADIANCE,,true,
,2151,CORAL,,true,
,2151,YELOW,,true,
,2151,PLAY PINK,,true,
,2151,FESTIVE TEA GREEN,,true,
,2151,SHADOW GREY,,true,
,2149,MEDIUM DENIM,,true,
,2149,UNIVERSAL LIGHT DENIM,,true,
,2149,WHITE DENIM,,true,
,2149,NILE,,true,
,2149,SAFARI BEIGE,,true,
,2149,RAILROAD BLACK,,true,
,2149,SKY DENIM,,true,
,2149,WHITE REFLECT,,true,
,2149,BLACK INK,,true,
,2149,ARIES BLUE,,true,
,2149,PALE BROWN,,true,
,2149,OPTIC WHITE,,true,
