PartNumber,Quantity,Backorderable
0066733173,72,0
0069851531,5,0
0069851914,3,0
0080331767,49,0
0080579505,286,0
0080579532,19,0
0080579642,96,0
0080715875,176,0
0080715905,159,0
0080999788,1,0
0080999819,54,0
0080999846,43,0
0080999943,169,0
0081000008,143,0
0081683524,114,0
0081683536,74,0
0081683779,95,0
0081683851,135,0
0081683876,131,0
0081684071,160,0
0081688110,13,0
0081688147,3,0
0081688217,137,0
0081688486,139,0
0081688941,119,0
0081688992,143,0
0081689024,105,0
0081689036,116,0
0084486321,168,0
0085087073,657,0
0085087097,457,0
0085087103,797,0
0085087277,23,0
0085087289,6,0
0085953696,207,0
0085953726,64,0
0086247774,1,0
0086247856,4,0
0087133016,80,0
0087133113,137,0
0087133140,103,0
0087133968,112,0
0087134136,45,0
0087134258,79,0
0087134449,115,0
0087134506,120,0
0087134846,59,0
0087134885,71,0
0087134928,90,0
0087140528,150,0
0087140570,169,0
0087140613,115,0
0087970474,576,0
0087970486,273,0
0087970498,6,0
0087970568,140,0
0088254700,35,0
0088254713,28,0
0088516355,48,0
0088802189,100,0
0088802191,130,0
0089796749,40,0
0089796763,16,0
0090050437,233,0
0090052080,53,0
0090053965,39,0
0090766525,90,0
0090766525,90,0
0090766525,90,0
0090766540,466,0
0090766540,466,0
0090766540,466,0
0090766589,174,0
0090766716,126,0
0090766743,70,0
0091081254,111,0
0091270462,319,0
0091270499,44,0
0091270520,50,0
0091270532,162,0
0091270569,26,0
0091270572,104,0
0091270596,162,0
0091270602,369,0
0091270627,289,0
0091270681,4,0
0091270832,4,0
0091270927,18,0
0091270942,3,0
0091271013,6,0
0091271077,8,0
0091271341,1,0
0091384194,170,0
0091384200,214,0
0091384225,59,0
0091384225,59,0
0091384225,59,0
0091415958,28,0
0091670705,7,0
0091692204,64,0
0091692217,84,0
0091693243,192,0
0091693325,203,0
0091693419,24,0
0091693433,59,0
0092022573,75,0
0092022616,34,0
0092022628,54,0
0092022630,58,0
0092022709,47,0
0092022724,76,0
0092022788,70,0
0092022790,74,0
0092022806,101,0
0092022858,14,0
0092022903,5,0
0092022994,13,0
0092023038,3,0
0092023041,35,0
0092023108,47,0
0092023123,48,0
0092023135,39,0
0092023148,44,0
0092023150,37,0
0092023218,21,0
0092023232,21,0
0092023245,37,0
0092023257,56,0
0092023269,42,0
0092023284,28,0
0092023315,17,0
0092023339,60,0
0092023342,33,0
0092023381,38,0
0092023393,5,0
0092383200,9,0
0092383237,11,0
0092384102,106,0
0092384115,174,0
0092407088,7,0
0092407090,21,0
0092407282,209,0
0092407294,245,0
0092407300,99,0
0092407421,45,0
0092407473,9,0
0092819226,21,0
0092819514,116,0
0092819565,60,0
0092819880,76,0
0092819923,100,0
0092819975,134,0
0092820099,172,0
0092820145,111,0
0092820202,106,0
0092829594,11,0
0092829746,55,0
0092829758,18,0
0092830013,28,0
0092830134,29,0
0092830229,78,0
0092830268,1,0
0092830271,12,0
0092830283,3,0
0092911597,96,0
0092911616,173,0
0092911630,109,0
0092911694,178,0
0092911712,71,0
0092911724,87,0
0092911736,54,0
0092911749,32,0
0092911751,30,0
0092911788,62,0
0092912135,62,0
0092912162,56,0
0092912175,115,0
0092912187,77,0
0092912220,101,0
0092912269,82,0
0092912284,64,0
0092912296,47,0
0092912339,52,0
0093058412,21,0
0093058573,27,0
0093058585,99,0
0093060124,41,0
0093060136,37,0
0093060190,29,0
0093060221,94,0
0093060233,56,0
0093060246,88,0
0093060260,36,0
0093060370,185,0
0093096725,132,0
0093096810,263,0
0093097367,358,0
0093385777,13,0
0093385807,9,0
0093385810,4,0
0093385917,3,0
0093385929,2,0
0093385968,29,0
0093385971,3,0
0093386002,49,0
0093386015,25,0
0093389364,14,0
0093389419,4,0
0093389421,53,0
0093389446,128,0
0093389458,69,0
0093389516,19,0
0093389555,3,0
0093389567,5,0
0093389570,22,0
0093389582,77,0
0093389600,18,0
0093389773,6,0
0093389843,146,0
0093389882,71,0
0093389900,10,0
0093389913,24,0
0093389937,79,0
0093389952,7,0
0093389964,20,0
0093389977,11,0
0093390000,175,0
0093390013,125,0
0093390025,40,0
0093423241,8,0
0093423265,24,0
0093423280,21,0
0093423323,28,0
0093423335,96,0
0093423348,100,0
0093423635,42,0
0093423650,52,0
0093423675,12,0
0093462278,92,0
0093462323,33,0
0093462335,59,0
0093462375,3,0
0093492480,72,0
0093492492,39,0
0093492535,53,0
0093501448,12,0
0093501450,39,0
0093501475,46,0
0093501487,36,0
0093501518,51,0
0093501545,155,0
0093501557,65,0
0093501596,57,0
0093501615,85,0
0093501639,164,0
0093501642,83,0
0093502422,2,0
0093502434,3,0
0093502568,32,0
0093502583,45,0
0093502722,33,0
0093502747,23,0
0093503119,1,0
0093503133,16,0
0093503228,9,0
0093503230,65,0
0093503243,179,0
0093503952,91,0
0093503989,5,0
0093504008,28,0
0093504023,36,0
0093504035,6,0
0093504050,20,0
0093504062,62,0
0093504087,16,0
0093504215,4,0
0093504254,113,0
0093504266,65,0
0093504309,2,0
0093504324,24,0
0093504336,8,0
0093609692,9,0
0093609707,80,0
0093951229,13,0
0093951231,128,0
0093951271,17,0
0093951283,195,0
0093951295,351,0
0093951301,168,0
0093951314,12,0
0093951326,163,0
0093951341,139,0
0093952352,27,0
0093952364,101,0
0093952377,193,0
0093952419,30,0
0093952433,184,0
0093952446,199,0
0093952458,103,0
0093952473,20,0
0093952485,81,0
0093952497,184,0
0093952503,180,0
0094045821,11,0
0094046038,19,0
0094047025,17,0
0094047037,57,0
0094047064,23,0
0094047091,55,0
0094047134,6,0
0094047174,165,0
0094047186,35,0
0094047326,86,0
0094047338,109,0
0094047341,111,0
0094049099,12,0
0094049105,47,0
0094049118,64,0
0094049120,63,0
0094049279,11,0
0094049688,5,0
0094049705,30,0
0094049769,14,0
0094052201,65,0
