CatentryPartNumber,Price,CurrencyCode,StartDate,EndDate,Precedence,MinimumQuantity
0095369233,44.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095376363,27.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095397041,36.75,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095397080,36.75,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095397532,36.75,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095547383,24.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095584427,21.6,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095584427,14.99,USD,2012-07-05 00:01:00.000,2012-07-18 23:59:00.000,999,1
0095597835,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095597850,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095606642,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095606711,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095606748,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095606750,21.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095636705,25.2,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095636912,25.2,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095636990,25.2,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095641213,6.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095666427,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095666454,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095666481,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095666536,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095666576,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095668995,25.2,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095669002,25.2,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095675036,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095675063,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095681836,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095681851,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095694726,16.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095694741,16.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095694780,16.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
0095701093,26.99,USD,2012-07-08 00:01:00.000,2012-07-14 23:59:00.000,999,1
