PartNumber,Usage,Name,Value,Sequence,Delete,GroupName
P000007188,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000017046,2,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,0,
P000039567,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000043358,2,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,0,
P000121246,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000144685,2,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,0,
P000145549,2,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,0,
P000149356,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000150704,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000154461,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000160927,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000164919,2,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,0,
P000164920,2,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,0,
P000170879,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000183349,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000184683,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000185129,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000188074,2,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,0,
P000191164,2,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,0,
P000192847,2,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,0,
P000193522,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000200510,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000200938,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000201083,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000201191,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000201193,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000201486,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000201507,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000202599,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000202909,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000202937,2,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,0,
P000202938,2,SizeChart,http://www.beallsflorida.com/default?page=MnsPants,0,0,
P000203161,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000203174,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000203230,2,SizeChart,http://www.beallsflorida.com/default?page=SizeChart,0,0,
P000203313,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000203592,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000203638,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
P000203641,2,SizeChart,http://www.beallsflorida.com/default?page=Mspants,0,0,
