PartNumber,ParentPartNumber,Type,ListPrice,ParentGroupIdentifier,Sequence,Language_ID,Name,ShortDescription,LongDescription,IPSID,Buyable,Available,Published,Keyword,StartDate,Delete
0094124836,P000206871,Item,50.0000,1-2-3,31,-1,Van Heusen Grid Sport Shirt,,"Van Heusen offers a style that is comfortable & laid-back in this sport shirt. Sport shirt features an engineered left chest pocket, straight hem with side splits, short sleeves and an allover grid pattern.",457-1007-3332-31,1,1,1,,2012-03-01 00:00:00,0
0095397041,P000214882,Item,49.0000,1-2-3,10,-1,Vintage Red Short Sleeve Manteau Shirt,,"Perfect for the updated yet laid-back look you seek, this button front shirt by Vintage red features two button-through chest pockets, cuffed short sleeves and an allover print.",457-4896-2034-10,1,1,1,,2012-03-29 00:00:00,0
0096213270,P000209035,Item,44.0000,1-2-3,46,-1,Windham Pointe Palm Panel Sport Shirt,,"Keep your weekends crisp & classic in this sport shirt by Windham Pointe! This sport shirt features short sleeves, straight hemline and a double panel palm print design.",455-5688-5078-46,1,1,1,,2012-05-24 00:00:00,0
0081683779,P000144685,Item,40.0000,1-2-7,98,-1,Genuine Wrangler Relaxed Fit Jeans,,"These Genuine Wrangler jeans offer a classic look and a feel that's broken in & guaranteed to stand the test of time.  Jeans feature a premium denim fabrication, classic five-pocket design, relaxed fit in the seat & thigh, straight leg opening, and fit just below the waist.",479-2296-1010-98,1,1,1,,2008-11-27 00:00:00,0
0094125192,P000206888,Item,50.0000,1-2-3,46,-1,Van Heusen Puckered Windowpane Sport Shirt,,"Van Heusen offers a style that is comfortable & laid-back in this sport shirt. Sport shirt features an engineered left chest pocket, straight hem with side splits, short sleeves and a windowpane pattern.",457-1007-3401-46,1,1,1,,2012-05-03 00:00:00,0
0096213294,P000209035,Item,44.0000,1-2-3,46,-1,Windham Pointe Palm Panel Sport Shirt,,"Keep your weekends crisp & classic in this sport shirt by Windham Pointe! This sport shirt features short sleeves, straight hemline and a double panel palm print design.",455-5688-5078-46,1,1,1,,2012-05-24 00:00:00,0
0095938467,P000215608,Item,49.5000,1-2-7,96,-1,Calvin Klein Relaxed Straight Leg Jeans,,"You'll love the relaxed fit & styling of these Calvin Klein jeans. These jeans feature 5-pocket styling, contrast stitching and an intense blue design.",467-1461-9167-96,1,1,1,,2012-04-19 00:00:00,0
0080579505,P000121246,Item,36.0000,52-53-64,1,-1,Alia Microfiber Bermuda Shorts,,"Freshly styled shorts are a must-have for every wardrobe! Shorts feature a mock fly front with 9'' inseam, and an all-around elastic waist for comfort.",136-5114-1219-01,1,1,1,,2008-12-11 00:00:00,0
0094339934,P000210800,Item,42.0000,52-53-64,4,-1,Dockers® Faux Cargo Shorts,,Comfort and style collide in these shorts by Dockers featuring faux cargo pockets and zip fly with double button closure. International shipping prohibited.,109-9274-5406-04,1,1,1,,2012-04-26 00:00:00,0
0094884155,P000221027,Item,34.5000,52-105-107,19,-1,Roxy Shallow Tank Top,,"A fashion forward tank top by Roxy! This tank top features a modern print with contrasting stripes, racerback design and measures 26'' in length.",234-4029-7397-19,1,1,1,,2012-05-03 00:00:00,0
0096172908,P000217675,Item,58.0000,52-53-64,10,-1,IZOD Linen Bermuda Shorts,,"Comfort and style are offered in these bermuda shorts by IZOD featuring a comfortable rib knit waist, zip fly with button closure, and side hem adjustable drawstrings.",117-0352-5145-10,1,1,1,,2012-05-17 00:00:00,0
0096601179,P000222473,Item,24.0000,52-105-107,56,-1,Eyeshadow Knotted Foil Racerback Tank Top,,"This lace tank top by Eyeshadow offers an updated look with its foil striping, deep scoop neckline, hilo hem and a knotted racerback design.",229-4712-2646-56,1,1,1,,2012-06-21 00:00:00,0
