PartNumber,ParentPartNumber,Type,ListPrice,ParentGroupIdentifier,Sequence,Language_ID,Name,ShortDescription,LongDescription,IPSID,Buyable,Available,Published,Keyword,StartDate,Delete
P000007188,,Product,0,1-2-3,0,-1,Columbia Mens Short Sleeve Bonehead Shirt,,"The Bonehead Shirt is designed for anglers & features a cotton Ultra-lite poplin fabric for a lived-in comfort, hook & loop-closed fly boxed pockets, rod holder, utility loop, tool holder & is fully vented.  International Shipping Prohibited.",,1,1,1,,1997-02-27 0:00:00,0
P000039567,,Product,0,1-2-3,0,-1,Columbia Sportswear Mens Bahama II Shirt,,A lightweight shirt that dries fast & has mesh-lined vents at the back enhance airflow to keep you cool & features built-in UV protection . This Bahama II shirt offers two chest pockets offering plenty of room for small gear. International Shipping Prohibited.,,1,1,1,,2003-12-18 0:00:00,0
P000150704,,Product,0,1-2-3,0,-1,Columbia Sportswear Mens Tamiami II Shirt,,Tamiami II lightweight shirt features anti-microbial properties to keep odor-free. Moisture wicking fabric offers sun protection & mesh-lined vents for airflow for breathable comfort. Deep pockets & a rod holder for hands free convenience. International Shipping Prohibited.,,1,1,1,,2009-08-06 0:00:00,0
P000154461,,Product,0,1-2-3,0,-1,Reel Legends Tidewater Vented Fishing Shirt,,"Reel Legends Tidewater fishing shirt offers a design sure to capture the attention of any fishing enthusiast! A casual style that features a button front, point collar, short sleeves, waterproof pouch, security pockets & a vented back. 100% cotton with polyester lining.",,1,1,1,,2009-12-17 0:00:00,0
P000160927,,Product,0,1-2-3,0,-1,Columbia Sportswear Mens Blood & Guts Shirt,,"Stain-resistant repellent shirt allows you to clean your catch and stay clean. It's designed with UV-protection, short sleeves, flip-up collar to keep the sun off your neck, vented back, rod holder, and 2 hook & loop closed pockets. International Shipping Prohibited.",,1,1,1,,2010-01-14 0:00:00,0
P000170879,,Product,0,1-2-3,0,-1,Reel Legends Short Sleeve Castaway Shirt,,"Fishing is easier with a shirt by Reel Legends that features a rod holder, sunglass loop, fully vented back, self-adhesive pockets and UPF35 sun protection.",,1,1,1,,2010-12-02 0:00:00,0
P000193522,,Product,0,1-2-3,0,-1,Reel Legends Short Sleeve Castaway Shirt,,"Reel Legends short sleeve Castaway shirt is made for the true fisherman with a fishing rod holder, sunglass loop & has a fully vented back.  Expandable front pockets on this shirt securely hold your belongings.  UPF35 sun protection.  100% Nylon.",,1,1,1,,2011-10-06 0:00:00,0
P000201191,,Product,0,1-2-3,0,-1,Van Heusen Textured Vertical Stripe Sport Shirt,,"Just right for business or casual wear, this button front sport shirt features a textured vertical stripe design, short sleeves, point collar, chest pocket, and straight split hemline. Easy wear and care!",,1,1,1,,2011-12-15 0:00:00,0
P000201193,,Product,0,1-2-3,0,-1,Van Heusen Textured Grid Sport Shirt,,"Just right for business or casual wear, this button front sport shirt features a textured grid design, short sleeves, point collar, and straight split hemline.",,1,1,1,,2011-12-15 0:00:00,0
P000203161,,Product,0,1-2-3,0,-1,Van Heusen Vertical Stripes Sport Shirt,,"Easy wear and easy care! Van Heusen provides a hassle-free style in this short sleeve shirt that features vertical stripes, left chest pocket & a straight hem with side splits.",,1,1,1,,2011-12-29 0:00:00,0
P000203230,,Product,0,1-2-3,0,-1,Van Heusen Grid Sport Shirt,,"Easy wear and easy care! Van Heusen provides a hassle-free style in this short sleeve shirt that features a grid pattern, left chest pocket & a straight hem with side splits.",,1,1,1,,2011-12-29 0:00:00,0
